,State,Class,Portrait,Name,Party,Occupation,Previous Office(s),Education,Assumed Office,Born,Seat Up
,North Carolina,2,,Thom Tillis,Republican,Business consultant,North Carolina House Speaker,"Chattanooga State Community College(attended)
University of Maryland, University College (BA)","January 3, 2015","August 30, 1960 (age 56)",2020
,North Dakota,3,,John Hoeven,Republican,Banker,North Dakota Governor,"Dartmouth College (BA)
Northwestern University(MBA)","January 3, 2011","March 13, 1957 (age 59)",2022
,North Dakota,1,,Heidi Heitkamp,Democratic,"Lawyer, gasification plant director","Lawyer for state government agencies, North Dakota Attorney General, North Dakota Tax Commissioner","University of North Dakota(BA)
Lewis and Clark College(JD)","January 3, 2013","October 30, 1955 (age 61)",2018
,Ohio,1,,Sherrod Brown,Democratic,Teacher,"U.S. House, Ohio Secretary of State, Ohio House","Yale University(BA)
Ohio State University(MA; MPA)","January 3, 2007","November 9, 1952 (age 64)",2018
,Ohio,3,,Rob Portman,Republican,"Farm hand, lobbyist, lawyer in a law firm","U.S. House, U.S. Trade Representative, Director of the Office of Management and Budget","Dartmouth College (BA)
University of Michigan, Ann Arbor(JD)","January 3, 2011","December 19, 1955 (age 61)",2022
,Oklahoma,2,,Jim Inhofe,Republican,"Businessperson, developer, president of insurance company","U.S. Army, U.S. House, Tulsa Mayor, Oklahoma Senate, Oklahoma House",University of Tulsa (BA),"November 17, 1994","November 17, 1934 (age 82)",2020
,Oklahoma,3,,James Lankford,Republican,Program director at Falls Creek Baptist Conference Center,U.S. House,"University of Texas, Austin(BS)
Southwestern Baptist Theological Seminary(MDiv)","January 3, 2015","March 4, 1968 (age 48)",2022
,Oregon,3,,Ron Wyden,Democratic,"Teacher, nonprofit director",U.S. House,"University of California, Santa Barbara(attended)
Stanford University(BA)
University of Oregon (JD)","February 6, 1996","May 3, 1949 (age 67)",2022
,Oregon,2,,Jeff Merkley,Democratic,Director of nonprofits,"Oregon House Speaker, Defense Department tech worker, CBO Analyst,","Stanford University(BA)
Princeton University(MPA)","January 3, 2009","October 24, 1956 (age 60)",2020
,Pennsylvania,1,,Bob Casey Jr.,Democratic,"Teacher, basketball coach, lawyer in private practice","Pennsylvania Treasurer, Pennsylvania Auditor","College of the Holy Cross(BA)
Catholic University of America (JD)","January 3, 2007","April 13, 1960 (age 56)",2018
,Pennsylvania,3,,Pat Toomey,Republican,"Currency trader, restaurant owner",U.S. House,Harvard University(BA),"January 3, 2011","November 17, 1961 (age 55)",2022
,Rhode Island,2,,Jack Reed,Democratic,Lawyer at law firms,"U.S. Army Major, U.S. House, Rhode Island Senate","United States Military Academy (BS)
Harvard University(MPP, JD)","January 3, 1997","November 12, 1949 (age 67)",2020
,Rhode Island,1,,Sheldon Whitehouse,Democratic,None,"Law clerk for the West Virginia Supreme Court, Special Assistant to Attorney General, Governor's Executive Counsel, Rhode Island Attorney General, U.S. Attorney for the District of Rhode Island, Rhode Island Director of Business Regulation","Yale University(BA)
University of Virginia (JD)","January 3, 2007","October 20, 1955 (age 61)",2018
,South Carolina,2,,Lindsey Graham,Republican,Lawyer in private practice,"Judge advocate, military prosecutor, U.S. House, South Carolina House of Representatives","University of South Carolina, Columbia (BA;JD)","January 3, 2003","July 9, 1955 (age 61)",2020
,South Carolina,3,,Tim Scott,Republican,"Insurance agent, financial adviser","U.S. House, South Carolina House, Charleston County Council","Presbyterian College(attended)
Charleston Southern University(BS)","January 2, 2013","November 19, 1965 (age 51)",2022
,South Dakota,3,,John Thune,Republican,"Municipal League Director, Railroad Director","U.S. House, Legislative aide, South Dakota Republican Party Executive Director","Biola University(BS)
University of South Dakota(MBA)","January 3, 2005","January 7, 1961 (age 56)",2022
,South Dakota,2,,Mike Rounds,Republican,Businessperson,"South Dakota Governor, South Dakota Senate",South Dakota State University(BS),"January 3, 2015","October 24, 1954 (age 62)",2020
,Tennessee,2,,Lamar Alexander,Republican,Lawyer in a law firm,"Law clerk for the 5th Circuit, Senate staffer, Tennessee Governor, U.S. Secretary of Education","Vanderbilt University(BA)
New York University (JD)","January 3, 2003","July 3, 1940 (age 76)",2020
,Tennessee,1,,Bob Corker,Republican,"Construction laborer and superintendent, owner of construction and real estate companies","Chattanooga Mayor, Tennessee Finance and Administration Commissioner","University of Tennessee, Knoxville (BS)","January 3, 2007","August 24, 1952 (age 64)",2018
,Texas,2,,John Cornyn,Republican,Lawyer,"State district judge, Texas Attorney General, Texas Supreme Court Associate Justice","Trinity University, Texas (BA)
St. Mary's University, Texas (JD)
University of Virginia (LLM)","December 1, 2002","February 2, 1952 (age 65)",2020
